Country,Quantity
Netherlands,200361
EIRE,147173
Germany,119261
France,112103
Australia,83901
Sweden,36083
Switzerland,30629
Spain,27940
Japan,26016
Belgium,23237
Norway,19336
Portugal,16258
Finland,10704
Channel Islands,9491
Denmark,8235
Italy,8112
Cyprus,6361
Singapore,5241
Austria,4881
Hong Kong,4773
Israel,4409
Poland,3684
Unspecified,3300
Canada,2763
USA,2458
Iceland,2458
Greece,1557
United Arab Emirates,982
Malta,970
Czech Republic,671
Lithuania,652
European Community,499
Lebanon,386
Brazil,356
RSA,351
Bahrain,314
Saudi Arabia,80
